Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquisition Type,Acquisition Terms,Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree Headquarters Location,Acquiree's Estimated Revenue Range,Acquiree's Total Funding Amount,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer Funding Status,Acquirer's Number of Funding Rounds
Avionics Instruments acquired by TransDigm,Avionics Instruments,TransDigm,"Jul 9, 2004",—,Acquisition,—,"Avionics Instruments designer, developer and producer of advanced power conversion equipment.",—,Aerospace,"Avenel, New Jersey, United States",—,—,M&A,—,"TransDigm is a global designer, producer, and supplier of highly engineered aircraft components.","Aerospace, Manufacturing","Cleveland, Ohio, United States",—,"$133,789,999",IPO,1
Custom House acquired by Western Union,Custom House,Western Union,"Sep 2, 2009",—,Acquisition,—,"Custom House was a Canadian foreign exchange and money transfers company based in Victoria, British Columbia.",—,"Financial Services, FinTech, Payments","Victoria, British Columbia, Canada",—,—,M&A,—,"Western Union provides consumers and businesses with fast, reliable and convenient ways to send and receive money around the world.","Internet, Mobile Payments, Payments","Englewood, Colorado, United States",—,—,IPO,—
Horace Small acquired by VF,Horace Small,VF,"Mar 31, 1999",—,Acquisition,—,"A clothing company based in Nashville, Tennessee",—,"Consulting, Security","Wilmington, Delaware, United States",—,—,M&A,—,VF offers a diverse portfolio of iconic outdoor and activity-based lifestyle and work-wear brands.,"Fashion, Product Design, Shoes, Sports","Greenwood Village, Colorado, United States",—,"$680,611,554",IPO,1
Railex - Assets acquired by Union Pacific Corporation,Railex - Assets,Union Pacific Corporation,"Jan 3, 2017",—,Acquisition,—,Railex - Assets is a refrigerated and cold storage distribution.,—,Logistics,"Delano, California, United States",—,—,M&A,—,"Union Pacific Railroad is the principal operating company of Union Pacific Corporation both are headquartered in Omaha, Nebraska","Information Technology, Logistics, Transportation","Omaha, Nebraska, United States",—,—,IPO,—
MDS Nordion's - (HDR) Brachytherapy Business acquired by Varian Medical Systems,MDS Nordion's - (HDR) Brachytherapy Business,Varian Medical Systems,"Jun 26, 2002","$11,000,000",Acquisition,Cash,HDR brachytherapy a minimally invasive procedure for eradicating cancerous tumors with radiation.,—,Medical Device,—,—,—,M&A,—,Varian Medical Systems is a manufacturer of medical devices and software for treating cancer and other medical conditions.,"Health Care, Manufacturing, Medical Device","Palo Alto, California, United States",—,—,IPO,—
Customer Value Group acquired by Xerox,Customer Value Group,Xerox,"Jul 2, 2013",—,Acquisition,—,A software company that specializes in cloud-based accounts receivable (AR) and financial customer relationship management software.,—,"CRM, Enterprise Software, Software","London, England, United Kingdom",—,—,M&A,—,"Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.","Digital Media, Hardware, Information Technology, Printing, Software","Norwalk, Connecticut, United States",—,"$27,200,000,000",M&A,4
Avtec acquired by Motorola Solutions,Avtec,Motorola Solutions,"Mar 11, 2019",—,Acquisition,—,"Avtec provides pure voice over IP dispatch console systems to customers in utility, public safety, airline, railroad, & government markets.",—,"Consumer Electronics, Energy, Government, Information Technology, Internet, Renewable Energy, Software, Telecommunications","Lexington, South Carolina, United States",—,—,M&A,—,Motorola Solutions creates mission-critical communication solutions and services for public safety and commercial customers.,"Communications Infrastructure, Cyber Security, Electronics, Information Technology, Mobile, Public Safety, Telecommunications, Wireless","Schaumburg, Illinois, United States",—,"$1,000,000,000",IPO,1
Spinal Dynamics of Wisconsin acquired by Medtronic,Spinal Dynamics of Wisconsin,Medtronic,"Jun 29, 2002","$269,500,000",Merger,Cash & Stock,Spinal Dynamics is physical therapy services company with specialty programs for Scoliosis.,—,"Consulting, Emergency Medicine, Health Care, Medical, Personal Health","Wauwatosa, Wisconsin, United States",—,—,M&A,—,Medtronic develops and manufactures innovative medical device technologies and therapies to treat chronic diseases worldwide.,"Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical, Medical Device","Minneapolis, Minnesota, United States",—,"$20,000,000",IPO,1
Net4Call acquired by Oracle,Net4Call,Oracle,"Apr 18, 2006",—,Acquisition,—,"Net4Call AS provides network independent value added voice, data communication and multimedia products and services.",—,Software,"Lysaker, Akershus, Norway",—,—,M&A,—,Oracle is an integrated cloud applications and platform services.,"Collaboration, Computer, Enterprise Software, Information Services, Information Technology, Software","Redwood Shores, California, United States",—,—,IPO,1
TripleHop Technologies acquired by Oracle,TripleHop Technologies,Oracle,"Jun 20, 2005",—,Acquisition,—,TripleHop Technologies was a provider of enterprise search software. The company was acquired by Oracle in June 2005.,—,"Consulting, Enterprise Software, Information Technology, Internet, Software","New York, New York, United States",—,—,M&A,—,Oracle is an integrated cloud applications and platform services.,"Collaboration, Computer, Enterprise Software, Information Services, Information Technology, Software","Redwood Shores, California, United States",—,—,IPO,1
Nirvanix acquired by Oracle,Nirvanix,Oracle,"Dec 4, 2013",—,Acquisition,—,Nirvanix offers cloud storage solutions to avoid downtime losses for customers expecting security reliability and redundancy levels.,—,"Cloud Computing, Cloud Data Services, Cloud Management, Enterprise Software, Private Cloud","San Diego, California, United States",—,"$70,000,000",M&A,5,Oracle is an integrated cloud applications and platform services.,"Collaboration, Computer, Enterprise Software, Information Services, Information Technology, Software","Redwood Shores, California, United States",—,—,IPO,1
Antelliq acquired by Merck,Antelliq,Merck,"Dec 14, 2018","$2,100,000,000",Acquisition,Cash,"Antelliq designs, produces and distributes animal intelligence solutions for the management of livestock, pets, and fish.",—,"Consumer Software, Information Services, Intelligent Systems, Internet of Things, Livestock","Irving, Texas, United States",—,—,M&A,—,Merck is a biopharmaceutical company that offers medicines and vaccines for various diseases.,"Biotechnology, Health Care, Medical","Kenilworth, New Jersey, United States",—,"$5,586,000",IPO,2
Entropic Research Laboratories acquired by Microsoft,Entropic Research Laboratories,Microsoft,"Nov 1, 1999",—,Acquisition,—,"Entropic, with bases in both Cambridge, in the United Kingdom and Redwood in the United States.",—,Government,"Redmond, Washington, United States",—,—,M&A,1,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.","Cloud Computing, Collaboration, Consumer Electronics, Developer Tools, Enterprise Software, Operating Systems, Software","Redmond, Washington, United States",—,"$1,000,000",IPO,1
DataScaler acquired by Oracle,DataScaler,Oracle,"Oct 1, 2010",—,Acquisition,—,DataScaler is a provider of data center infrastructure space solutions for enterprise installations and managed network services.,—,"Computer, Software","Cupertino, California, United States",—,—,M&A,—,Oracle is an integrated cloud applications and platform services.,"Collaboration, Computer, Enterprise Software, Information Services, Information Technology, Software","Redwood Shores, California, United States",—,—,IPO,1
JAVA acquired by Oracle,JAVA,Oracle,"Apr 1, 2009",—,Acquisition,—,Java is a programming language and computing platform first released by Sun Microsystems.,—,"Application Performance Management, Internet, Software","Redwood Shores, California, United States",—,—,M&A,—,Oracle is an integrated cloud applications and platform services.,"Collaboration, Computer, Enterprise Software, Information Services, Information Technology, Software","Redwood Shores, California, United States",—,—,IPO,1
Logical Apps acquired by Oracle,Logical Apps,Oracle,"Oct 1, 2007",—,Acquisition,—,Fashion One is an international fashion and entertainment network.,—,"Fashion, Real Time, Software","Irvine, California, United States",—,"$14,000,000",M&A,1,Oracle is an integrated cloud applications and platform services.,"Collaboration, Computer, Enterprise Software, Information Services, Information Technology, Software","Redwood Shores, California, United States",—,—,IPO,1
S.B.C. Elettronica acquired by Parker Hannifin,S.B.C. Elettronica,Parker Hannifin,"Feb 22, 2001",—,Acquisition,—,"A leading manufacturer of digital servo drives and motors, among the requisite products and systems for high-efficiency factory automation",—,"Computer, Electronics, Manufacturing","Balsamo, Sicilia, Italy",—,—,M&A,—,Parker Hannifin is the world's leading diversified manufacturer of motion.,"Hardware, Manufacturing","Cleveland, Ohio, United States",—,—,IPO,—
REPUCOM acquired by Nielsen,REPUCOM,Nielsen,"Jun 22, 2016",—,Acquisition,—,"REPUCOM provides research services in the areas of sports marketing, media, and sponsorship.",—,"Analytics, Marketing, Social Media, Sports","Stamford, Connecticut, United States",—,"$160,000",M&A,2,Global marketing research and business services company.,"Advertising, Consulting, Digital Media, Information Services, Market Research, Test and Measurement, TV","New City, New York, United States",—,—,IPO,1
ISSC Technologies Corp acquired by Microchip Technology,ISSC Technologies Corp,Microchip Technology,"Jul 14, 2014","$328,500,000",Acquisition,—,ISSC Technologies Corp. is a Fab-less Bluetooth SoC design-house and has committed to provide world class Bluetooth solutions,—,"Embedded Systems, Hardware","Hsinchu, T'ai-wan, Taiwan",—,—,M&A,—,Microchip Technology develops and manufactures semiconductor products for various embedded control applications worldwide.,"Automotive, Manufacturing, Semiconductor, Wireless","Chandler, Arizona, United States",—,"$937,000",IPO,2
IVC Group acquired by Mohawk Industries,IVC Group,Mohawk Industries,"Jan 13, 2015","$1,200,000,000",Acquisition,Cash,IVC Group was incorporated in Avelgem (Belgium) in 1997 and took off to a flying start.,—,Real Estate,"Avelgem, West-Vlaanderen, Belgium",—,—,M&A,—,A leading global flooring manufacturer that creates products to enhance residential and commercial spaces around the world.,"Commercial Real Estate, Construction, Residential","Calhoun, Georgia, United States",—,—,IPO,—
BevyUp acquired by Nordstrom,BevyUp,Nordstrom,"Mar 8, 2018",—,Acquisition,—,BevyUp empowers sales associates with unique tools and insights that put the focus back on the customer.,—,"Artificial Intelligence, Cloud Computing, Customer Service, E-Commerce, Information Technology, Marketing, Retail Technology","Seattle, Washington, United States",—,"$750,000",M&A,1,"Nordstrom is an online fashion retailer offering apparel, shoes, cosmetics and accessories for women, men and children.","Brand Marketing, Consumer Goods, E-Commerce, Fashion, Lifestyle, Retail","Seattle, Washington, United States",—,—,IPO,—
Octetstring acquired by Oracle,Octetstring,Oracle,"Nov 16, 2005",—,—,—,OctetString's Virtual Directory Engine.,—,"Advertising, Software","Schaumburg, Illinois, United States",—,—,M&A,—,Oracle is an integrated cloud applications and platform services.,"Collaboration, Computer, Enterprise Software, Information Services, Information Technology, Software","Redwood Shores, California, United States",—,—,IPO,1
